#
#"Theta / deg"	"Farfield (PAA_FA_FREQ) [Array Scanning1] [dBi]"
#--------------------------------------------------------------
-180.00000000000	-10.232839351388
-179.00000000000	-11.715793482228
-178.00000000000	-14.604287586326
-177.00000000000	-14.134347940077
-176.00000000000	-10.902977086489
-175.00000000000	-9.2614675448254
-174.00000000000	-9.7058476150915
-173.00000000000	-12.826785932424
-172.00000000000	-22.819174630889
-171.00000000000	-19.885282156968
-170.00000000000	-12.361541943932
-169.00000000000	-10.174223754763
-168.00000000000	-10.762733072520
-167.00000000000	-14.491818529696
-166.00000000000	-23.123128543795
-165.00000000000	-15.221330181449
-164.00000000000	-10.242005471560
-163.00000000000	-8.4419348887379
-162.00000000000	-8.7116961159668
-161.00000000000	-11.067694813371
-160.00000000000	-16.709258718126
-159.00000000000	-25.514190046570
-158.00000000000	-16.803098887666
-157.00000000000	-13.672454490287
-156.00000000000	-13.683946726539
-155.00000000000	-15.755210255391
-154.00000000000	-16.398999087513
-153.00000000000	-12.914345801922
-152.00000000000	-10.012552265401
-151.00000000000	-8.6522820915708
-150.00000000000	-8.5765976967361
-149.00000000000	-9.3390606894462
-148.00000000000	-9.8491558826781
-147.00000000000	-8.8953976065978
-146.00000000000	-7.2205505447924
-145.00000000000	-6.0239674910427
-144.00000000000	-5.7416557534721
-143.00000000000	-6.5383165347210
-142.00000000000	-8.6532127659394
-141.00000000000	-12.535620991712
-140.00000000000	-16.731231262677
-139.00000000000	-13.618692562281
-138.00000000000	-10.071855538214
-137.00000000000	-8.4088843738532
-136.00000000000	-8.2774497096105
-135.00000000000	-9.6831563669086
-134.00000000000	-13.310748608059
-133.00000000000	-21.936114893829
-132.00000000000	-16.879999210535
-131.00000000000	-10.006872762683
-130.00000000000	-6.4026601811419
-129.00000000000	-4.2611023385166
-128.00000000000	-2.9909403402748
-127.00000000000	-2.3158766467523
-126.00000000000	-2.0647110945513
-125.00000000000	-2.1004120527974
-124.00000000000	-2.2930188528895
-123.00000000000	-2.5202102745269
-122.00000000000	-2.6917791878066
-121.00000000000	-2.7802838577200
-120.00000000000	-2.8241415397050
-119.00000000000	-2.8965976518678
-118.00000000000	-3.0721958970534
-117.00000000000	-3.4017092602475
-116.00000000000	-3.9086320753832
-115.00000000000	-4.5829517937188
-114.00000000000	-5.3674015694731
-113.00000000000	-6.1342342371132
-112.00000000000	-6.6779931487137
-111.00000000000	-6.7907604585219
-110.00000000000	-6.4158760567631
-109.00000000000	-5.6948274013830
-108.00000000000	-4.8335853353851
-107.00000000000	-3.9820871925720
-106.00000000000	-3.2159548522831
-105.00000000000	-2.5619079486137
-104.00000000000	-2.0216124010027
-103.00000000000	-1.5854995176661
-102.00000000000	-1.2391918484704
-101.00000000000	-0.96823438156902
-100.00000000000	-0.75704140939574
-99.000000000000	-0.59127122972064
-98.000000000000	-0.45770973409017
-97.000000000000	-0.34451254788262
-96.000000000000	-0.24142273031452
-95.000000000000	-0.13997865493187
-94.000000000000	-0.033693427987397
-93.000000000000	0.081825667442556
-92.000000000000	0.20884613598858
-91.000000000000	0.34758128058283
-90.000000000000	0.49635662862657
-89.000000000000	0.65183370755587
-88.000000000000	0.80932927827578
-87.000000000000	0.96301848643061
-86.000000000000	1.1062128952196
-85.000000000000	1.2315397587057
-84.000000000000	1.3310764519231
-83.000000000000	1.3964365996383
-82.000000000000	1.4188225469808
-81.000000000000	1.3890671404618
-80.000000000000	1.2976986606323
-79.000000000000	1.1350809391837
-78.000000000000	0.89171344030935
-77.000000000000	0.55837028172021
-76.000000000000	0.12893870801360
-75.000000000000	-0.39992128147707
-74.000000000000	-1.0237139764081
-73.000000000000	-1.7250136073093
-72.000000000000	-2.4664694295122
-71.000000000000	-3.1856929009869
-70.000000000000	-3.8006089940559
-69.000000000000	-4.2342172598688
-68.000000000000	-4.4493088149156
-67.000000000000	-4.4577928255694
-66.000000000000	-4.2794219993208
-65.000000000000	-3.8875690610759
-64.000000000000	-3.1925162863023
-63.000000000000	-2.1125906424399
-62.000000000000	-0.68102092328534
-61.000000000000	0.94481829224466
-60.000000000000	2.5794591991675
-59.000000000000	4.0791503244390
-58.000000000000	5.3564067140898
-57.000000000000	6.3578508663894
-56.000000000000	7.0455198756439
-55.000000000000	7.3833185825784
-54.000000000000	7.3246765976126
-53.000000000000	6.8022845450092
-52.000000000000	5.7070621092823
-51.000000000000	3.8447958629955
-50.000000000000	0.81353847048571
-49.000000000000	-4.4785024985159
-48.000000000000	-17.454482021261
-47.000000000000	-9.5367596419561
-46.000000000000	-4.4046348367484
-45.000000000000	-3.4185726783052
-44.000000000000	-5.9225357895329
-43.000000000000	-20.355245030708
-42.000000000000	-4.4757195038706
-41.000000000000	3.2216665590843
-40.000000000000	7.5988423319156
-39.000000000000	10.449202023869
-38.000000000000	12.293427310045
-37.000000000000	13.336053102112
-36.000000000000	13.652722126005
-35.000000000000	13.240402911957
-34.000000000000	12.022833781120
-33.000000000000	9.8208152413202
-32.000000000000	6.2505410075736
-31.000000000000	0.36232258269972
-30.000000000000	-11.580567831376
-29.000000000000	-14.737695879139
-28.000000000000	-12.876868054300
-27.000000000000	-2.9878483339354
-26.000000000000	4.9115616826633
-25.000000000000	9.7970882835664
-24.000000000000	12.931091389796
-23.000000000000	14.818778028508
-22.000000000000	15.663043786561
-21.000000000000	15.501602050269
-20.000000000000	14.223020781496
-19.000000000000	11.466675571721
-18.000000000000	6.1317193046483
-17.000000000000	-8.4282859163431
-16.000000000000	-0.32363850933545
-15.000000000000	3.4717375000136
-14.000000000000	1.0383256883189
-13.000000000000	-6.1556967083718
-12.000000000000	7.0108277509134
-11.000000000000	12.830528763553
-10.000000000000	15.797789493816
-9.0000000000000	16.883642108813
