#
#"Theta / deg"	"Farfield (PAA_FA_FREQ) [Array Scanning1] [dBi]"
#--------------------------------------------------------------
-180.00000000000	-17.918177196012
-179.00000000000	-17.065231593827
-178.00000000000	-16.549475598941
-177.00000000000	-17.525456962786
-176.00000000000	-21.149702392834
-175.00000000000	-26.792362628287
-174.00000000000	-19.252577154917
-173.00000000000	-14.154586545232
-172.00000000000	-11.552809087773
-171.00000000000	-10.505368764660
-170.00000000000	-10.683597340613
-169.00000000000	-11.963755807685
-168.00000000000	-14.140259034503
-167.00000000000	-16.184031128417
-166.00000000000	-16.248587844660
-165.00000000000	-15.123193952220
-164.00000000000	-14.434027787066
-163.00000000000	-14.424492134192
-162.00000000000	-14.617916027008
-161.00000000000	-14.353779015201
-160.00000000000	-13.608699666800
-159.00000000000	-13.003704070161
-158.00000000000	-13.070740107173
-157.00000000000	-14.148010424174
-156.00000000000	-16.624371394594
-155.00000000000	-21.107291041789
-154.00000000000	-24.276781260914
-153.00000000000	-19.627007567508
-152.00000000000	-16.245574015317
-151.00000000000	-14.721783437631
-150.00000000000	-14.624068064970
-149.00000000000	-15.936456360702
-148.00000000000	-19.207989713767
-147.00000000000	-27.119993818658
-146.00000000000	-28.107978098968
-145.00000000000	-19.125229743876
-144.00000000000	-15.205228913962
-143.00000000000	-13.146277255323
-142.00000000000	-12.164424788672
-141.00000000000	-11.924605141471
-140.00000000000	-12.166914301318
-139.00000000000	-12.528921633743
-138.00000000000	-12.501386094082
-137.00000000000	-11.779363018139
-136.00000000000	-10.596523040344
-135.00000000000	-9.3826147884852
-134.00000000000	-8.3943785918466
-133.00000000000	-7.7180639141682
-132.00000000000	-7.3575124611657
-131.00000000000	-7.2808168589256
-130.00000000000	-7.4340957724497
-129.00000000000	-7.7412755883000
-128.00000000000	-8.1004018705201
-127.00000000000	-8.3934702675009
-126.00000000000	-8.5206651734145
-125.00000000000	-8.4449427882057
-124.00000000000	-8.2093265562018
-123.00000000000	-7.8996756675699
-122.00000000000	-7.6013522361371
-121.00000000000	-7.3751946917338
-120.00000000000	-7.2561428592417
-119.00000000000	-7.2584624737195
-118.00000000000	-7.3856738087258
-117.00000000000	-7.6329997710515
-116.00000000000	-7.9906093709070
-115.00000000000	-8.4443968698743
-114.00000000000	-8.9756890206033
-113.00000000000	-9.5605896529356
-112.00000000000	-10.166465227837
-111.00000000000	-10.755070215994
-110.00000000000	-11.281981568104
-109.00000000000	-11.703251535840
-108.00000000000	-11.984944873065
-107.00000000000	-12.112470058611
-106.00000000000	-12.094043451588
-105.00000000000	-11.955839984194
-104.00000000000	-11.731555482178
-103.00000000000	-11.456035878079
-102.00000000000	-11.155864188461
-101.00000000000	-10.851043454991
-100.00000000000	-10.555033935864
-99.000000000000	-10.276405150558
-98.000000000000	-10.020485047262
-97.000000000000	-9.7907069992676
-96.000000000000	-9.5896113901257
-95.000000000000	-9.4195546093704
-94.000000000000	-9.2831965770583
-93.000000000000	-9.1838258973450
-92.000000000000	-9.1255593196923
-91.000000000000	-9.1134233400186
-90.000000000000	-9.1532844512176
-89.000000000000	-9.2515361302811
-88.000000000000	-9.4142416130512
-87.000000000000	-9.6453844539020
-86.000000000000	-9.9430791877237
-85.000000000000	-10.292132122607
-84.000000000000	-10.650650210911
-83.000000000000	-10.930938905750
-82.000000000000	-10.988081567671
-81.000000000000	-10.654344970636
-80.000000000000	-9.8407063079164
-79.000000000000	-8.6143096320897
-78.000000000000	-7.1448368711299
-77.000000000000	-5.5961702750468
-76.000000000000	-4.0768369539499
-75.000000000000	-2.6453815113449
-74.000000000000	-1.3303927691991
-73.000000000000	-0.14439278219329
-72.000000000000	0.90704283890787
-71.000000000000	1.8210699851098
-70.000000000000	2.5954856412147
-69.000000000000	3.2277979184840
-68.000000000000	3.7148943350960
-67.000000000000	4.0530497039010
-66.000000000000	4.2379694556714
-65.000000000000	4.2660594675871
-64.000000000000	4.1341304581455
-63.000000000000	3.8414506829397
-62.000000000000	3.3916030482582
-61.000000000000	2.7956749578636
-60.000000000000	2.0774592472453
-59.000000000000	1.2815872781090
-58.000000000000	0.49046450679864
-57.000000000000	-0.15811685537839
-56.000000000000	-0.46577344426017
-55.000000000000	-0.24484285972082
-54.000000000000	0.53317327016621
-53.000000000000	1.6842909660446
-52.000000000000	2.9437268369323
-51.000000000000	4.0923766994926
-50.000000000000	4.9813786250996
-49.000000000000	5.5050582972967
-48.000000000000	5.5639971815255
-47.000000000000	5.0345031787967
-46.000000000000	3.7169301211927
-45.000000000000	1.2346657680807
-44.000000000000	-3.0935866046260
-43.000000000000	-6.5545649407825
-42.000000000000	-1.4735097345567
-41.000000000000	2.5728325122366
-40.000000000000	4.7711678790751
-39.000000000000	5.6019432004713
-38.000000000000	5.1395141436495
-37.000000000000	3.0265473648705
-36.000000000000	-2.3029843154100
-35.000000000000	-13.401849426505
-34.000000000000	0.45775120443391
-33.000000000000	5.6101286090231
-32.000000000000	8.1198318351507
-31.000000000000	9.0574361231771
-30.000000000000	8.6083303407045
-29.000000000000	6.4551594080027
-28.000000000000	1.0819743191976
-27.000000000000	-10.590769697594
-26.000000000000	3.2431139696381
-25.000000000000	8.2178617824955
-24.000000000000	10.482574368635
-23.000000000000	11.132328641643
-22.000000000000	10.357193731541
-21.000000000000	7.8378157796452
-20.000000000000	1.9933522750816
-19.000000000000	-18.413235842281
-18.000000000000	2.9131406010986
-17.000000000000	7.5219586506594
-16.000000000000	9.2375978260723
-15.000000000000	9.2614939990534
-14.000000000000	7.8211813476132
-13.000000000000	4.7041060712248
-12.000000000000	-1.0421571871814
-11.000000000000	-14.310860914296
-10.000000000000	-10.525513433028
-9.0000000000000	-8.1141192652008
-8.0000000000000	-13.373657135212
-7.0000000000000	-9.8448480162499
-6.0000000000000	-2.5578002031868
-5.0000000000000	0.49959441154073
-4.0000000000000	1.1652350628442
-3.0000000000000	-0.10819088234726
-2.0000000000000	-3.0986342988769
-1.0000000000000	-6.0050907358922
0.0000000000000	-6.6196539338099
1.0000000000000	-9.2647656787067
2.0000000000000	-6.7467437969598
3.0000000000000	2.1856063178608
4.0000000000000	7.5645664510431
5.0000000000000	10.871250694043
6.0000000000000	12.755618144549
7.0000000000000	13.460482354548
8.0000000000000	13.024823327557
9.0000000000000	11.298422567180
10.000000000000	7.7820090759624
11.000000000000	0.70387365530737
12.000000000000	-13.658803533846
13.000000000000	-0.89439466940571
14.000000000000	0.20282574050924
15.000000000000	-5.5634447891190
16.000000000000	-2.0089648139021
17.000000000000	6.7801190223867
18.000000000000	11.117866280717
19.000000000000	13.395959520994
20.000000000000	14.252433322953
21.000000000000	13.848726591700
22.000000000000	12.060612214249
23.000000000000	8.3256687764931
24.000000000000	0.89027495527350
